年次,年収,手取り,生活費,イベント費用,積立可能額,投資残高,貯金残高
1,340.0,272.0,20.0,0,63.0,32.74361464430924,32.0
2,340.0,272.0,20.0,0,63.0,67.16245475732944,64.0032
3,390.0,312.0,20.0,50,60.5,93.10984847707307,86.00960032
4,430.0,344.0,23.0,0,80.25,167.453706155798,154.018201280032
5,455.0,364.0,23.0,200,35.25,176.02095557005865,154.03360310016
6,480.0,384.0,23.0,0,90.25,283.2573656569068,250.04900646047
7,500.0,400.0,23.0,300,19.25,297.7493500728941,250.07401136111602
8,520.0,416.0,25.0,80,77.75,349.8193383905238,286.0990187622522
9,543.3333333333334,434.66666666666674,25.0,0,102.41666666666669,478.90861772128216,394.7942953307951
10,566.6666666666666,453.3333333333333,35.0,500,0.0,503.4104915158202,394.83377476032814
11,590.0,472.0,35.0,0,109.25,582.3743014723478,446.87325813780416
12,626.6666666666666,501.3333333333333,40.0,50,102.83333333333333,612.1696760132216,446.91794546361797
13,663.3333333333334,530.6666666666667,40.0,0,122.66666666666669,695.3334949838596,497.629303924831
14,700.0,560.0,40.0,0,130.0,812.7671128587458,577.6790668552235
15,733.3333333333334,586.6666666666667,50.0,50,121.66666666666669,854.349820888456,577.736834761909
16,766.6666666666666,613.3333333333334,53.0,0,140.08333333333334,898.0599791800279,577.7946084453852
17,800.0,640.0,53.0,0,146.75,948.099383957047,581.8523879062296
18,833.3333333333334,666.6666666666667,53.0,250,90.91666666666669,996.6059478207915,581.9105731450203
19,866.6666666666666,693.3333333333334,53.0,0,160.08333333333334,1106.2598424559142,639.3020975356682
20,900.0,720.0,53.0,0,166.75,1248.8101839876174,723.3660277454218
